time,temperature,humidity,windspeed,uvindex,devicename
04/02/2022 00:00:00,12,71.47,13,0,weather-pro-1
04/02/2022 00:05:00,12.3,70.5,14,0,weather-pro-1
04/02/2022 00:10:00,12.8,70.68,13.6,0,weather-pro-1
04/02/2022 00:15:00,11.5,72.13,13.5,0,weather-pro-1
04/02/2022 00:20:00,11.7,70.97,13.1,0,weather-pro-1
04/02/2022 00:25:00,12.9,70.47,12.3,0,weather-pro-1
04/02/2022 00:30:00,12.8,70.81,13.9,0,weather-pro-1
04/02/2022 00:35:00,12,70.56,12.7,0,weather-pro-1
04/02/2022 00:40:00,11.1,71.49,13.8,0,weather-pro-1
04/02/2022 00:45:00,11.7,71.45,13.7,0,weather-pro-1
04/02/2022 00:50:00,12.8,71.3,13.8,0,weather-pro-1
04/02/2022 00:55:00,12.9,70.88,13.3,0,weather-pro-1
04/02/2022 01:00:00,12,71.45,11.1,0,weather-pro-1
04/02/2022 01:05:00,11.5,72.35,10.9,0,weather-pro-1
04/02/2022 01:10:00,12.7,71.82,11,0,weather-pro-1
04/02/2022 01:15:00,11.1,70.7,11.2,0,weather-pro-1
04/02/2022 01:20:00,12.5,72.26,11.6,0,weather-pro-1
04/02/2022 01:25:00,12.8,71.99,11.3,0,weather-pro-1
04/02/2022 01:30:00,11.8,70.81,10.6,0,weather-pro-1
04/02/2022 01:35:00,11.2,72.39,10.9,0,weather-pro-1
04/02/2022 01:40:00,12,72.33,10.9,0,weather-pro-1
04/02/2022 01:45:00,12.3,71.88,10.4,0,weather-pro-1
04/02/2022 01:50:00,11.1,71.19,11.6,0,weather-pro-1
04/02/2022 01:55:00,12.9,72.13,11.6,0,weather-pro-1
04/02/2022 02:00:00,11.1,71.23,7.2,0,weather-pro-1
04/02/2022 02:05:00,11.5,71.97,7.2,0,weather-pro-1
04/02/2022 02:10:00,11.3,70.81,7,0,weather-pro-1
04/02/2022 02:15:00,11.5,70.76,6.8,0,weather-pro-1
04/02/2022 02:20:00,10.7,71.55,7.3,0,weather-pro-1
04/02/2022 02:25:00,11.6,71.23,8.2,0,weather-pro-1
04/02/2022 02:30:00,11.6,71.82,7.1,0,weather-pro-1
04/02/2022 02:35:00,10.1,71.81,8.2,0,weather-pro-1
04/02/2022 02:40:00,11,71.83,6.9,0,weather-pro-1
04/02/2022 02:45:00,11,70.82,7.8,0,weather-pro-1
04/02/2022 02:50:00,11.1,72.17,6.7,0,weather-pro-1
04/02/2022 02:55:00,10.9,70.73,6.5,0,weather-pro-1
04/02/2022 03:00:00,11,66.5,9.4,0,weather-pro-1
04/02/2022 03:05:00,11.7,66.25,8.9,0,weather-pro-1
04/02/2022 03:10:00,11.7,66.42,9.4,0,weather-pro-1
04/02/2022 03:15:00,10.8,67.23,8.8,0,weather-pro-1
04/02/2022 03:20:00,10.6,65.83,9.7,0,weather-pro-1
04/02/2022 03:25:00,11.8,65.55,8.7,0,weather-pro-1
04/02/2022 03:30:00,11.7,65.93,9.1,0,weather-pro-1
04/02/2022 03:35:00,10.5,67.47,10.1,0,weather-pro-1
04/02/2022 03:40:00,11.3,65.85,9.1,0,weather-pro-1
04/02/2022 03:45:00,11.1,65.96,10.3,0,weather-pro-1
04/02/2022 03:50:00,10.6,67.49,9.5,0,weather-pro-1
04/02/2022 03:55:00,10.2,67.06,8.9,0,weather-pro-1
04/02/2022 04:00:00,11,62.01,1.8,0,weather-pro-1
04/02/2022 04:05:00,10.6,62.31,1.1,0,weather-pro-1
04/02/2022 04:10:00,10.2,61.76,1.8,0,weather-pro-1
04/02/2022 04:15:00,10.1,61.72,1.4,0,weather-pro-1
04/02/2022 04:20:00,11.2,62.65,1,0,weather-pro-1
04/02/2022 04:25:00,11,61.41,1.5,0,weather-pro-1
04/02/2022 04:30:00,10.4,62.47,1.8,0,weather-pro-1
04/02/2022 04:35:00,10.9,61.55,1.5,0,weather-pro-1
04/02/2022 04:40:00,12,62.16,1.8,0,weather-pro-1
04/02/2022 04:45:00,11.7,62.53,1.5,0,weather-pro-1
04/02/2022 04:50:00,11.4,62.12,0.8,0,weather-pro-1
04/02/2022 04:55:00,11.8,62.76,1.5,0,weather-pro-1
04/02/2022 05:00:00,8.1,81.29,3.6,0,weather-pro-1
04/02/2022 05:05:00,8.8,81.76,3.3,0,weather-pro-1
04/02/2022 05:10:00,8,81.74,4.5,0,weather-pro-1
04/02/2022 05:15:00,7.4,81.37,2.7,0,weather-pro-1
04/02/2022 05:20:00,7.2,82.22,2.7,0,weather-pro-1
04/02/2022 05:25:00,8.8,80.66,2.7,0,weather-pro-1
04/02/2022 05:30:00,8.1,80.63,3,0,weather-pro-1
04/02/2022 05:35:00,7.5,82.12,2.6,0,weather-pro-1
04/02/2022 05:40:00,7.8,81.22,2.6,0,weather-pro-1
04/02/2022 05:45:00,8.9,80.72,3.1,0,weather-pro-1
04/02/2022 05:50:00,8.4,81.5,3.5,0,weather-pro-1
04/02/2022 05:55:00,8.5,81.14,4,0,weather-pro-1
04/02/2022 06:00:00,8,75.85,3.6,0,weather-pro-1
04/02/2022 06:05:00,8,76.81,2.7,0,weather-pro-1
04/02/2022 06:10:00,8.7,76.78,4.3,0,weather-pro-1
04/02/2022 06:15:00,8,76.48,3.5,0,weather-pro-1
04/02/2022 06:20:00,8.4,74.98,3.1,0,weather-pro-1
04/02/2022 06:25:00,8.1,76.6,4.4,0,weather-pro-1
04/02/2022 06:30:00,8.4,75.75,4.6,0,weather-pro-1
04/02/2022 06:35:00,8.5,76.01,2.8,0,weather-pro-1
04/02/2022 06:40:00,8,75.47,4.4,0,weather-pro-1
04/02/2022 06:45:00,8.7,76.38,3.8,0,weather-pro-1
04/02/2022 06:50:00,8.3,75.11,3.7,0,weather-pro-1
04/02/2022 06:55:00,8.5,75.86,4.2,0,weather-pro-1
