time,temperature,humidity,windspeed,uvindex,deviceid
04/04/2022 00:00:00,3,74.99,3.6,0,weather-pro-8
04/04/2022 00:05:00,3.2,74.9,3.3,0,weather-pro-8
04/04/2022 00:10:00,2.2,74.51,3.5,0,weather-pro-8
04/04/2022 00:15:00,2.3,74.35,2.7,0,weather-pro-8
04/04/2022 00:20:00,2.6,75.09,3.4,0,weather-pro-8
04/04/2022 00:25:00,2.3,74.54,4.2,0,weather-pro-8
04/04/2022 00:30:00,2.5,74.4,4.6,0,weather-pro-8
04/04/2022 00:35:00,3.9,74.04,4.4,0,weather-pro-8
04/04/2022 00:40:00,3,74.51,3.4,0,weather-pro-8
04/04/2022 00:45:00,2.8,74.1,3.4,0,weather-pro-8
04/04/2022 00:50:00,2.6,74.8,3.5,0,weather-pro-8
04/04/2022 00:55:00,2.2,75.11,4.1,0,weather-pro-8
04/04/2022 01:00:00,3,74.99,7.6,0,weather-pro-8
04/04/2022 01:05:00,2.3,74.23,7.9,0,weather-pro-8
04/04/2022 01:10:00,2.5,75.93,7.4,0,weather-pro-8
04/04/2022 01:15:00,2.9,74.17,7.7,0,weather-pro-8
04/04/2022 01:20:00,2.7,75.7,8.4,0,weather-pro-8
04/04/2022 01:25:00,3.6,75.31,7.4,0,weather-pro-8
04/04/2022 01:30:00,2.3,75.7,7.3,0,weather-pro-8
04/04/2022 01:35:00,3.6,75.16,8.1,0,weather-pro-8
04/04/2022 01:40:00,2.9,74.18,8.5,0,weather-pro-8
04/04/2022 01:45:00,2.7,74.18,7.4,0,weather-pro-8
04/04/2022 01:50:00,3.7,74.4,7.9,0,weather-pro-8
04/04/2022 01:55:00,3,75.06,8.5,0,weather-pro-8
04/04/2022 02:00:00,3,75.12,3.6,0,weather-pro-8
04/04/2022 02:05:00,3,74.83,3.3,0,weather-pro-8
04/04/2022 02:10:00,2.3,75.88,3.3,0,weather-pro-8
04/04/2022 02:15:00,3.6,75.96,2.8,0,weather-pro-8
04/04/2022 02:20:00,2.4,75.29,3.7,0,weather-pro-8
04/04/2022 02:25:00,2.3,75.1,2.7,0,weather-pro-8
04/04/2022 02:30:00,2.9,76.03,3.8,0,weather-pro-8
04/04/2022 02:35:00,4,75.7,3,0,weather-pro-8
04/04/2022 02:40:00,3.8,74.9,4.5,0,weather-pro-8
04/04/2022 02:45:00,2.5,75.93,3.7,0,weather-pro-8
04/04/2022 02:50:00,3.5,74.6,3.5,0,weather-pro-8
04/04/2022 02:55:00,4,74.73,3.4,0,weather-pro-8
04/04/2022 03:00:00,3,74.99,3.6,0,weather-pro-8
04/04/2022 03:05:00,3.3,74.34,3.3,0,weather-pro-8
04/04/2022 03:10:00,3,74.22,4.2,0,weather-pro-8
04/04/2022 03:15:00,3.5,75.6,3.1,0,weather-pro-8
04/04/2022 03:20:00,3.3,75.93,2.7,0,weather-pro-8
04/04/2022 03:25:00,3.9,74.34,3.9,0,weather-pro-8
04/04/2022 03:30:00,2,75.71,3.3,0,weather-pro-8
04/04/2022 03:35:00,2.1,75.52,3.2,0,weather-pro-8
04/04/2022 03:40:00,3.1,74.19,3.4,0,weather-pro-8
04/04/2022 03:45:00,2.9,74.1,3.4,0,weather-pro-8
04/04/2022 03:50:00,3.2,74.86,3.6,0,weather-pro-8
04/04/2022 03:55:00,3.3,75.2,4.1,0,weather-pro-8
04/04/2022 04:00:00,1,93.03,3.6,0,weather-pro-8
04/04/2022 04:05:00,0.3,92.06,2.6,0,weather-pro-8
04/04/2022 04:10:00,1.4,93.5,3.2,0,weather-pro-8
04/04/2022 04:15:00,1.7,93.29,3.8,0,weather-pro-8
04/04/2022 04:20:00,1.6,92.94,4.1,0,weather-pro-8
04/04/2022 04:25:00,0.8,93.69,3.2,0,weather-pro-8
04/04/2022 04:30:00,1.2,92.85,2.6,0,weather-pro-8
04/04/2022 04:35:00,1.3,93.62,3.1,0,weather-pro-8
04/04/2022 04:40:00,0.2,93.51,3,0,weather-pro-8
04/04/2022 04:45:00,1.5,92.51,3.1,0,weather-pro-8
04/04/2022 04:50:00,1.6,92.06,4.2,0,weather-pro-8
04/04/2022 04:55:00,0.9,93.65,3,0,weather-pro-8
04/04/2022 05:00:00,1.9,92.69,5.2,0,weather-pro-8
04/04/2022 05:05:00,2.2,92.21,5.1,0,weather-pro-8
04/04/2022 05:10:00,1.5,92.93,4.3,0,weather-pro-8
04/04/2022 05:15:00,0.9,92.43,5.6,0,weather-pro-8
04/04/2022 05:20:00,1.9,92.32,5.6,0,weather-pro-8
04/04/2022 05:25:00,1.8,91.8,6,0,weather-pro-8
04/04/2022 05:30:00,1.3,92.16,4.2,0,weather-pro-8
04/04/2022 05:35:00,1,93.21,4.5,0,weather-pro-8
04/04/2022 05:40:00,1.4,93.64,5.3,0,weather-pro-8
04/04/2022 05:45:00,1.6,91.9,4.7,0,weather-pro-8
04/04/2022 05:50:00,2.2,92.2,5.3,0,weather-pro-8
04/04/2022 05:55:00,2,92.54,4.3,0,weather-pro-8
04/04/2022 06:00:00,2,86.6,1.8,0,weather-pro-8
04/04/2022 06:05:00,1.6,85.64,2.8,0,weather-pro-8
04/04/2022 06:10:00,2.8,86.45,2.5,0,weather-pro-8
04/04/2022 06:15:00,1.5,86.08,1.7,0,weather-pro-8
04/04/2022 06:20:00,2,87.25,2.4,0,weather-pro-8
04/04/2022 06:25:00,2.6,86.13,2.3,0,weather-pro-8
04/04/2022 06:30:00,1.2,85.77,2.8,0,weather-pro-8
04/04/2022 06:35:00,2,86.34,0.8,0,weather-pro-8
04/04/2022 06:40:00,1.4,87.34,1.3,0,weather-pro-8
04/04/2022 06:45:00,2.5,86.18,0.9,0,weather-pro-8
04/04/2022 06:50:00,1.3,87.02,1.8,0,weather-pro-8
04/04/2022 06:55:00,2.3,87.22,2.2,0,weather-pro-8
04/04/2022 07:00:00,2,80.51,1.8,0,weather-pro-8
04/04/2022 07:05:00,1.9,81.5,1,0,weather-pro-8
04/04/2022 07:10:00,2.4,80.79,1.9,0,weather-pro-8
04/04/2022 07:15:00,1.1,80.94,2.7,0,weather-pro-8
04/04/2022 07:20:00,1.8,79.71,1.5,0,weather-pro-8
04/04/2022 07:25:00,3,80.72,1.3,0,weather-pro-8
04/04/2022 07:30:00,2.5,80.4,0.9,0,weather-pro-8
04/04/2022 07:35:00,2.6,80.7,1.1,0,weather-pro-8
04/04/2022 07:40:00,1.8,79.76,1.2,0,weather-pro-8
04/04/2022 07:45:00,1.6,81.49,1.3,0,weather-pro-8
