time,temperature,humidity,windspeed,uvindex,devicename
04/04/2022 00:00:00,3,74.99,3.6,0,weather-pro-2
04/04/2022 00:05:00,3.3,75.24,3.4,0,weather-pro-2
04/04/2022 00:10:00,3.3,75.57,3.2,0,weather-pro-2
04/04/2022 00:15:00,3.8,75.52,3.2,0,weather-pro-2
04/04/2022 00:20:00,2.4,74.36,4.3,0,weather-pro-2
04/04/2022 00:25:00,2.1,75.9,3.4,0,weather-pro-2
04/04/2022 00:30:00,2.4,75.43,3.2,0,weather-pro-2
04/04/2022 00:35:00,2.6,75.41,3.2,0,weather-pro-2
04/04/2022 00:40:00,3,75.96,4.4,0,weather-pro-2
04/04/2022 00:45:00,2.3,74.57,4.3,0,weather-pro-2
04/04/2022 00:50:00,3.2,74.82,3.8,0,weather-pro-2
04/04/2022 00:55:00,3.9,75.43,4.2,0,weather-pro-2
04/04/2022 01:00:00,3,74.99,7.6,0,weather-pro-2
04/04/2022 01:05:00,3.6,75.36,7.2,0,weather-pro-2
04/04/2022 01:10:00,2.4,75.15,7.7,0,weather-pro-2
04/04/2022 01:15:00,2.6,74.63,7.6,0,weather-pro-2
04/04/2022 01:20:00,2.9,75.89,8.1,0,weather-pro-2
04/04/2022 01:25:00,3.8,75.19,8.6,0,weather-pro-2
04/04/2022 01:30:00,2.7,75.29,6.9,0,weather-pro-2
04/04/2022 01:35:00,2.7,74.39,7.5,0,weather-pro-2
04/04/2022 01:40:00,3.8,75.9,8.5,0,weather-pro-2
04/04/2022 01:45:00,2.8,75.89,7.5,0,weather-pro-2
04/04/2022 01:50:00,2.9,74.57,8.4,0,weather-pro-2
04/04/2022 01:55:00,3.6,75.02,7.4,0,weather-pro-2
04/04/2022 02:00:00,3,75.05,3.6,0,weather-pro-2
04/04/2022 02:05:00,3.3,75.75,3.3,0,weather-pro-2
04/04/2022 02:10:00,3.5,75.41,4.6,0,weather-pro-2
04/04/2022 02:15:00,3,74.33,3.6,0,weather-pro-2
04/04/2022 02:20:00,2.2,75.47,4,0,weather-pro-2
04/04/2022 02:25:00,2.8,75.63,2.6,0,weather-pro-2
04/04/2022 02:30:00,3,74.31,2.8,0,weather-pro-2
04/04/2022 02:35:00,3.4,74.53,3.7,0,weather-pro-2
04/04/2022 02:40:00,2.5,74.61,3.1,0,weather-pro-2
04/04/2022 02:45:00,3.7,76.02,4.2,0,weather-pro-2
04/04/2022 02:50:00,3.9,74.58,2.8,0,weather-pro-2
04/04/2022 02:55:00,2.9,75.9,3.8,0,weather-pro-2
04/04/2022 03:00:00,3,74.99,3.6,0,weather-pro-2
04/04/2022 03:05:00,3.2,74.26,4.6,0,weather-pro-2
04/04/2022 03:10:00,3,74.58,3.8,0,weather-pro-2
04/04/2022 03:15:00,3.5,74.29,4.2,0,weather-pro-2
04/04/2022 03:20:00,2.3,75.97,4,0,weather-pro-2
04/04/2022 03:25:00,3.8,75.63,3.2,0,weather-pro-2
04/04/2022 03:30:00,3.8,74.21,2.8,0,weather-pro-2
04/04/2022 03:35:00,3.4,74.39,4.1,0,weather-pro-2
04/04/2022 03:40:00,3,74.71,3.2,0,weather-pro-2
04/04/2022 03:45:00,2.5,74.59,4.4,0,weather-pro-2
04/04/2022 03:50:00,3.4,75.68,3.8,0,weather-pro-2
04/04/2022 03:55:00,2.4,75.19,4.4,0,weather-pro-2
04/04/2022 04:00:00,1,93.03,3.6,0,weather-pro-2
04/04/2022 04:05:00,1.1,92.23,4.1,0,weather-pro-2
04/04/2022 04:10:00,1.2,93.4,3.6,0,weather-pro-2
04/04/2022 04:15:00,0.1,92.32,4.4,0,weather-pro-2
04/04/2022 04:20:00,1.1,92.96,4.1,0,weather-pro-2
04/04/2022 04:25:00,1.7,93.51,4.5,0,weather-pro-2
04/04/2022 04:30:00,0.2,92.7,2.9,0,weather-pro-2
04/04/2022 04:35:00,0.5,92.72,2.9,0,weather-pro-2
04/04/2022 04:40:00,0.5,93.85,4.1,0,weather-pro-2
04/04/2022 04:45:00,0.9,92.06,3.3,0,weather-pro-2
04/04/2022 04:50:00,1.7,93.84,3.2,0,weather-pro-2
04/04/2022 04:55:00,0.8,92.39,4.3,0,weather-pro-2
04/04/2022 05:00:00,1.9,92.9,5.3,0,weather-pro-2
