time,temperature,humidity,windspeed,uvindex,deviceid
04/03/2022 00:00:00,7,61.05,11.2,0,weather-pro-3
04/03/2022 00:05:00,6.2,60.72,12.2,0,weather-pro-3
04/03/2022 00:10:00,7.7,61.19,12,0,weather-pro-3
04/03/2022 00:15:00,6.6,60.96,12.2,0,weather-pro-3
04/03/2022 00:20:00,6.7,61.83,11.7,0,weather-pro-3
04/03/2022 00:25:00,7.5,60.73,12,0,weather-pro-3
04/03/2022 00:30:00,6.3,60.89,12.1,0,weather-pro-3
04/03/2022 00:35:00,6.1,60.66,11.1,0,weather-pro-3
04/03/2022 00:40:00,7.1,60.95,11.2,0,weather-pro-3
04/03/2022 00:45:00,7.5,61.21,10.5,0,weather-pro-3
04/03/2022 00:50:00,7.2,60.62,11.8,0,weather-pro-3
04/03/2022 00:55:00,7.8,60.68,11.8,0,weather-pro-3
04/03/2022 01:00:00,6,75.52,7.6,0,weather-pro-3
04/03/2022 01:05:00,5.8,74.74,7.4,0,weather-pro-3
04/03/2022 01:10:00,5.5,75.01,7.7,0,weather-pro-3
04/03/2022 01:15:00,5.8,75.14,8,0,weather-pro-3
04/03/2022 01:20:00,5.2,76.2,6.7,0,weather-pro-3
04/03/2022 01:25:00,6.9,76.43,7.2,0,weather-pro-3
04/03/2022 01:30:00,6.4,75.06,8.6,0,weather-pro-3
04/03/2022 01:35:00,6,75.76,6.7,0,weather-pro-3
04/03/2022 01:40:00,6.3,76.35,7.9,0,weather-pro-3
04/03/2022 01:45:00,6.8,75.26,7.1,0,weather-pro-3
04/03/2022 01:50:00,6.8,75.71,7.7,0,weather-pro-3
04/03/2022 01:55:00,6.8,75.12,7.6,0,weather-pro-3
04/03/2022 02:00:00,5.2,77.23,9.1,0,weather-pro-3
04/03/2022 02:05:00,4.7,77.27,9.6,0,weather-pro-3
04/03/2022 02:10:00,4.3,76.28,9.9,0,weather-pro-3
04/03/2022 02:15:00,4.4,77.01,9.3,0,weather-pro-3
04/03/2022 02:20:00,4.5,77.63,8.4,0,weather-pro-3
04/03/2022 02:25:00,5.5,77.15,9.4,0,weather-pro-3
04/03/2022 02:30:00,5.4,76.75,8.1,0,weather-pro-3
04/03/2022 02:35:00,5,78.17,9.9,0,weather-pro-3
04/03/2022 02:40:00,5.8,77.16,9.1,0,weather-pro-3
04/03/2022 02:45:00,5.9,77.76,9.7,0,weather-pro-3
04/03/2022 02:50:00,4.3,76.61,9.8,0,weather-pro-3
04/03/2022 02:55:00,5.7,76.26,8.9,0,weather-pro-3
04/03/2022 03:00:00,4,86.8,22.3,0,weather-pro-3
04/03/2022 03:05:00,3.9,87.01,23.2,0,weather-pro-3
