time,temperature,humidity,windspeed,uvindex,deviceid
04/02/2022 00:00:00,12,71.47,13,0,weather-pro-1
04/02/2022 00:05:00,11.4,71.89,12.7,0,weather-pro-1
04/02/2022 00:10:00,11.3,70.51,12.7,0,weather-pro-1
04/02/2022 00:15:00,11.1,71.87,13.6,0,weather-pro-1
04/02/2022 00:20:00,12.2,71.22,13.8,0,weather-pro-1
04/02/2022 00:25:00,12,72.14,13.1,0,weather-pro-1
04/02/2022 00:30:00,11.4,72.13,12.2,0,weather-pro-1
04/02/2022 00:35:00,12.4,71.7,13,0,weather-pro-1
04/02/2022 00:40:00,11.6,71.27,13.1,0,weather-pro-1
04/02/2022 00:45:00,11.3,70.75,12.9,0,weather-pro-1
04/02/2022 00:50:00,12.8,71.77,12.5,0,weather-pro-1
04/02/2022 00:55:00,11.5,71.57,12.1,0,weather-pro-1
04/02/2022 01:00:00,12,71.45,11.1,0,weather-pro-1
04/02/2022 01:05:00,12.3,71.07,11.4,0,weather-pro-1
04/02/2022 01:10:00,12.4,71.14,10.1,0,weather-pro-1
04/02/2022 01:15:00,12.2,71.64,11,0,weather-pro-1
04/02/2022 01:20:00,12,71.59,11,0,weather-pro-1
04/02/2022 01:25:00,11.3,71.18,10.6,0,weather-pro-1
04/02/2022 01:30:00,12.9,71.05,10.5,0,weather-pro-1
04/02/2022 01:35:00,12.2,71.62,11.7,0,weather-pro-1
04/02/2022 01:40:00,12.5,71.52,10.4,0,weather-pro-1
04/02/2022 01:45:00,13,71.86,11.2,0,weather-pro-1
04/02/2022 01:50:00,11.8,72.09,10.8,0,weather-pro-1
04/02/2022 01:55:00,12.4,72.1,11.8,0,weather-pro-1
04/02/2022 02:00:00,11.1,71.23,7.2,0,weather-pro-1
04/02/2022 02:05:00,10.5,71.29,7.7,0,weather-pro-1
04/02/2022 02:10:00,10.7,71.58,7.2,0,weather-pro-1
04/02/2022 02:15:00,10.3,70.84,6.7,0,weather-pro-1
04/02/2022 02:20:00,11.2,71.7,7.7,0,weather-pro-1
04/02/2022 02:25:00,11,70.37,6.5,0,weather-pro-1
04/02/2022 02:30:00,10.2,71.18,6.5,0,weather-pro-1
04/02/2022 02:35:00,12.1,71.4,7.4,0,weather-pro-1
04/02/2022 02:40:00,11,71.96,6.9,0,weather-pro-1
04/02/2022 02:45:00,11.8,71.28,6.6,0,weather-pro-1
04/02/2022 02:50:00,10.2,70.66,7.7,0,weather-pro-1
04/02/2022 02:55:00,11,71.46,7.5,0,weather-pro-1
04/02/2022 03:00:00,11,66.5,9.4,0,weather-pro-1
04/02/2022 03:05:00,10.1,66.69,10,0,weather-pro-1
04/02/2022 03:10:00,11.4,66.14,10,0,weather-pro-1
04/02/2022 03:15:00,10.8,66.88,8.9,0,weather-pro-1
04/02/2022 03:20:00,10.2,67.21,9.5,0,weather-pro-1
04/02/2022 03:25:00,11.9,67.08,9.5,0,weather-pro-1
04/02/2022 03:30:00,11.1,67.41,9.4,0,weather-pro-1
04/02/2022 03:35:00,10.6,66.2,8.8,0,weather-pro-1
04/02/2022 03:40:00,11.6,65.94,8.6,0,weather-pro-1
04/02/2022 03:45:00,11.6,66.83,9.3,0,weather-pro-1
04/02/2022 03:50:00,10.1,66.15,9.7,0,weather-pro-1
04/02/2022 03:55:00,10.5,65.62,9.7,0,weather-pro-1
04/02/2022 04:00:00,11,62.01,1.8,0,weather-pro-1
04/02/2022 04:05:00,11.3,62.98,0.8,0,weather-pro-1
04/02/2022 04:10:00,10.1,61.32,2.5,0,weather-pro-1
04/02/2022 04:15:00,10.2,61.46,1.9,0,weather-pro-1
04/02/2022 04:20:00,10.2,61.41,2.2,0,weather-pro-1
04/02/2022 04:25:00,11.2,61.94,0.8,0,weather-pro-1
04/02/2022 04:30:00,10.8,61.86,1.6,0,weather-pro-1
04/02/2022 04:35:00,10.3,61.23,2.4,0,weather-pro-1
