time,temperature,humidity,windspeed,uvindex,deviceid
04/04/2022 00:00:00,3.7,81.69,14.4,0,weather-pro-7
04/04/2022 00:05:00,2.8,80.85,14.6,0,weather-pro-7
04/04/2022 00:10:00,4.1,81.76,14.7,0,weather-pro-7
04/04/2022 00:15:00,3.4,81.31,14.3,0,weather-pro-7
04/04/2022 00:20:00,3.1,80.86,13.8,0,weather-pro-7
04/04/2022 00:25:00,2.8,81.99,14.3,0,weather-pro-7
04/04/2022 00:30:00,3.9,81.18,14.9,0,weather-pro-7
04/04/2022 00:35:00,2.8,81.4,15,0,weather-pro-7
04/04/2022 00:40:00,3.8,82.37,13.9,0,weather-pro-7
04/04/2022 00:45:00,3,81.39,14,0,weather-pro-7
04/04/2022 00:50:00,4.5,81.8,15.1,0,weather-pro-7
04/04/2022 00:55:00,3.8,82.21,13.9,0,weather-pro-7
04/04/2022 01:00:00,3.7,81.69,13.6,0,weather-pro-7
04/04/2022 01:05:00,4.4,80.88,14.1,0,weather-pro-7
04/04/2022 01:10:00,3.9,82.14,14.1,0,weather-pro-7
04/04/2022 01:15:00,3.4,80.92,14,0,weather-pro-7
04/04/2022 01:20:00,4.2,81.83,12.7,0,weather-pro-7
04/04/2022 01:25:00,2.8,81.98,14.5,0,weather-pro-7
04/04/2022 01:30:00,4.3,81.1,12.8,0,weather-pro-7
04/04/2022 01:35:00,4.3,81.81,13.2,0,weather-pro-7
04/04/2022 01:40:00,4.7,80.75,12.7,0,weather-pro-7
04/04/2022 01:45:00,3.9,81.99,13.5,0,weather-pro-7
04/04/2022 01:50:00,2.9,82.21,13,0,weather-pro-7
04/04/2022 01:55:00,4,81.08,14,0,weather-pro-7
04/04/2022 02:00:00,3.6,78.04,3.7,0,weather-pro-7
04/04/2022 02:05:00,3.6,77.21,3.3,0,weather-pro-7
04/04/2022 02:10:00,4.2,77.33,4,0,weather-pro-7
04/04/2022 02:15:00,2.6,77.82,2.7,0,weather-pro-7
04/04/2022 02:20:00,3.5,78.57,3.2,0,weather-pro-7
04/04/2022 02:25:00,2.7,77.23,3.2,0,weather-pro-7
04/04/2022 02:30:00,2.8,77.81,3.2,0,weather-pro-7
04/04/2022 02:35:00,3.5,78.19,2.9,0,weather-pro-7
04/04/2022 02:40:00,3.7,78.22,4.2,0,weather-pro-7
04/04/2022 02:45:00,3.2,78.37,3.4,0,weather-pro-7
04/04/2022 02:50:00,3.4,78.48,3,0,weather-pro-7
04/04/2022 02:55:00,3.9,78.62,3.7,0,weather-pro-7
04/04/2022 03:00:00,1,90.23,8.2,0,weather-pro-7
04/04/2022 03:05:00,1.1,89.45,8.2,0,weather-pro-7
